T,M,F,N
85 Years & Over,3176,6469,9645
80 Years & Over,10204,16967,27171
75 Years & Over,24103,35404,59507
70 Years & Over,44616,59938,104554
65 Years & Over,74007,90443,164450
80 - 84 Years,7028,10498,17526
75 - 79 Years,13899,18437,32336
70 - 74 Years,20513,24534,45047
65 - 69 Years,29391,30505,59896
60 - 64 Years,41095,41926,83021
55 - 59 Years,49910,50192,100102
50 - 54 Years,59522,58570,118092
45 - 49 Years,64792,63647,128439
40 - 44 Years,104452,101611,206063
35 - 39 Years,130423,125570,255993
30 - 34 Years,152133,146190,298323
25 - 29 Years,147751,143189,290940
20 - 24 Years,121601,117386,238987
15 - 19 Years,115214,108091,223305
10 - 14 Years,102654,95822,198476
5 - 9 Years,106723,98905,205628
0 - 4 Years,116014,108035,224049
