T,M,F,N
85 Years & Over,9622,19619,29241
80 Years & Over,25154,43926,69080
75 Years & Over,53368,80890,134258
70 Years & Over,96255,130621,226876
65 Years & Over,149576,188811,338387
80 - 84 Years,15532,24307,39839
75 - 79 Years,28214,36964,65178
70 - 74 Years,42887,49731,92618
65 - 69 Years,53321,58190,111511
60 - 64 Years,94796,97199,191995
55 - 59 Years,124822,123874,248696
50 - 54 Years,152721,150323,303044
45 - 49 Years,163237,160222,323459
40 - 44 Years,152995,156446,309441
35 - 39 Years,156318,163706,320024
30 - 34 Years,143048,155639,298687
25 - 29 Years,131299,141340,272639
20 - 24 Years,123942,123248,247190
15 - 19 Years,134003,129747,263750
10 - 14 Years,125271,119031,244302
5 - 9 Years,110215,105460,215675
0 - 4 Years,98890,95542,194432
