T,M,F,N
85 Years & Over,14954,29289,44243
80 Years & Over,36838,60961,97799
75 Years & Over,75814,109940,185754
70 Years & Over,124505,165045,289550
65 Years & Over,220854,266716,487570
80 - 84 Years,21884,31672,53556
75 - 79 Years,38976,48979,87955
70 - 74 Years,48691,55105,103796
65 - 69 Years,96349,101671,198020
60 - 64 Years,125130,126723,251853
55 - 59 Years,150315,149276,299591
50 - 54 Years,158202,157396,315598
45 - 49 Years,147517,153666,301183
40 - 44 Years,152466,160979,313445
35 - 39 Years,143553,158445,301998
30 - 34 Years,135596,149948,285544
25 - 29 Years,137243,142745,279988
20 - 24 Years,132046,128808,260854
15 - 19 Years,122911,116860,239771
10 - 14 Years,105589,101906,207495
5 - 9 Years,102426,99083,201509
0 - 4 Years,95678,91482,187160
